File_name,Phase2eval_byOLIVES,Phase2eval_byHansa,macro_averaged_f1
Submissions/createdOutputmodel=resnet18epochs=80batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.748647425,0.613476492,0.619405023
Submissions/createdOutputmodel=resnet18epochs=80batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.740390323,0.578428989,0.62555721
Submissions/createdOutputmodel=resnet18epochs=80batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.758417534,0.546596962,0.646186552
Submissions/createdOutputmodel=resnet18epochs=80batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.761233828,0.581539416,0.624421666
Submissions/createdOutputmodel=resnet18epochs=80batch_size=128learning_rate=0.05momentum=0.9temp=0.07.zip,0.755794997,0.621873988,0.640080155
Submissions/createdOutputmodel=resnet18epochs=120batch_size=72learning_rate=0.05momentum=0.9temp=0.07.zip,0.706186281,0.496376637,0.569000159
Submissions/createdOutputmodel=resnet18epochs=120batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.728318025,0.537274275,0.611992273
Submissions/createdOutputmodel=resnet18epochs=120batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.737258705,0.595304496,0.622986993
Submissions/createdOutputmodel=resnet18epochs=120batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.762435774,0.568859608,0.645063574
Submissions/createdOutputmodel=resnet18epochs=120batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.720859805,0.549945151,0.618393802
Submissions/createdOutputmodel=resnet18epochs=120batch_size=128learning_rate=0.05momentum=0.9temp=0.07.zip,0.737643945,0.521236254,0.581188579
Submissions/createdOutputmodel=resnet18epochs=110batch_size=72learning_rate=0.05momentum=0.9temp=0.07.zip,0.755058126,0.602146637,0.642651205
Submissions/createdOutputmodel=resnet18epochs=110batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.752145334,0.56129804,0.624239386
Submissions/createdOutputmodel=resnet18epochs=110batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.745437922,0.507744394,0.585117346
Submissions/createdOutputmodel=resnet18epochs=110batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.757612168,0.601167017,0.640116423
Submissions/createdOutputmodel=resnet18epochs=110batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.770368058,0.608190257,0.664695339
Submissions/createdOutputmodel=resnet18epochs=110batch_size=128learning_rate=0.05momentum=0.9temp=0.07.zip,0.723634548,0.531962548,0.568335056
Submissions/createdOutputmodel=resnet18epochs=110batch_size=128learning_rate=0.04momentum=0.9temp=0.07.zip,0.764683754,0.596287859,0.614922018
Submissions/createdOutputmodel=resnet18epochs=100batch_size=72learning_rate=0.05momentum=0.9temp=0.07.zip,0.758404993,0.530558291,0.602282503
Submissions/createdOutputmodel=resnet18epochs=100batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.738528694,0.570070112,0.642311872
Submissions/createdOutputmodel=resnet18epochs=100batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.773538658,0.591434719,0.641134399
Submissions/createdOutputmodel=resnet18epochs=100batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.755714128,0.569946921,0.629583742
Submissions/createdOutputmodel=resnet18epochs=100batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.68481219,0.546335396,0.587537399
Submissions/createdOutputmodel=resnet18epochs=100batch_size=128learning_rate=0.05momentum=0.9temp=0.07.zip,0.744113414,0.557310591,0.613669487
Submissions/createdOutputmodel=resnet18epochs=100batch_size=128learning_rate=0.04momentum=0.9temp=0.07.zip,0.76323454,0.576041088,0.589119811
Submissions/createdOutputmodel=resnet152epochs=90batch_size=72learning_rate=0.05momentum=0.9temp=0.07.zip,0.740472742,0.551784528,0.641763071
Submissions/createdOutputmodel=resnet152epochs=90batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.746354975,0.568777721,0.638741509
Submissions/createdOutputmodel=resnet152epochs=90batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.739154602,0.535300841,0.617522126
Submissions/createdOutputmodel=resnet152epochs=90batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.746799823,0.570940636,0.637843077
Submissions/createdOutputmodel=resnet152epochs=90batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.752675559,0.56281224,0.636625684
Submissions/createdOutputmodel=resnet152epochs=80batch_size=72learning_rate=0.05momentum=0.9temp=0.07.zip,0.698938738,0.492520598,0.569023645
Submissions/createdOutputmodel=resnet152epochs=80batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.762939313,0.604624965,0.646075089
Submissions/createdOutputmodel=resnet152epochs=80batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.742301706,0.595977294,0.631126947
Submissions/createdOutputmodel=resnet152epochs=80batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.744348283,0.560054183,0.614248622
Submissions/createdOutputmodel=resnet152epochs=80batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.727530471,0.517155177,0.584018979
Submissions/createdOutputmodel=resnet152epochs=120batch_size=72learning_rate=0.05momentum=0.9temp=0.07.zip,0.718910578,0.563201092,0.589760592
Submissions/createdOutputmodel=resnet152epochs=120batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.756210344,0.575117974,0.616859672
Submissions/createdOutputmodel=resnet152epochs=120batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.722122935,0.543774787,0.55847251
Submissions/createdOutputmodel=resnet152epochs=120batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.753788137,0.543511434,0.641979367
Submissions/createdOutputmodel=resnet152epochs=120batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.744785963,0.546218111,0.629061726
Submissions/createdOutputmodel=resnet152epochs=110batch_size=72learning_rate=0.05momentum=0.9temp=0.07.zip,0.718649205,0.512299419,0.585318871
Submissions/createdOutputmodel=resnet152epochs=110batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.74357389,0.522352504,0.610775078
Submissions/createdOutputmodel=resnet152epochs=110batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.731750475,0.556554167,0.615133306
Submissions/createdOutputmodel=resnet152epochs=110batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.755478019,0.55347439,0.636202208
Submissions/createdOutputmodel=resnet152epochs=110batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.724280256,0.572716614,0.615021144
Submissions/createdOutputmodel=resnet152epochs=100batch_size=72learning_rate=0.05momentum=0.9temp=0.07.zip,0.715568981,0.52265253,0.610122506
Submissions/createdOutputmodel=resnet152epochs=100batch_size=64learning_rate=0.05momentum=0.9temp=0.07.zip,0.727941749,0.558031435,0.621775164
Submissions/createdOutputmodel=resnet152epochs=100batch_size=64learning_rate=0.04momentum=0.9temp=0.07.zip,0.719042078,0.557514045,0.590243138
Submissions/createdOutputmodel=resnet152epochs=100batch_size=32learning_rate=0.05momentum=0.9temp=0.07.zip,0.75946207,0.577499598,0.631604148
Submissions/createdOutputmodel=resnet152epochs=100batch_size=16learning_rate=0.05momentum=0.9temp=0.07.zip,0.748262883,0.562634059,0.629769816
